cohort,instance,workflow_family,task_scale,cluster,scenario,deadline_factor,mode,variant,cost,algorithm_time_ms,valid,process_wall_seconds
primary,setting1_atacseq1000_72_143_15_1_1,atacseq,atacseq1000,small,1,1.0,baseline,baseline,3151,5.0,True,0.175578
primary,setting1_atacseq1000_72_143_15_1_1,atacseq,atacseq1000,small,1,1.0,with_ls,press-LS,0,318.0,True,3.935462
primary,setting1_atacseq1000_72_143_15_1_1,atacseq,atacseq1000,small,1,1.0,with_ls,pressR-LS,0,350.0,True,3.935462
primary,setting1_atacseq1000_72_143_15_1_1,atacseq,atacseq1000,small,1,1.0,with_ls,pressW-LS,0,305.0,True,3.935462
primary,setting1_atacseq1000_72_143_15_1_1,atacseq,atacseq1000,small,1,1.0,with_ls,pressWR-LS,0,340.0,True,3.935462
primary,setting1_atacseq1000_72_143_15_1_1,atacseq,atacseq1000,small,1,1.0,with_ls,slack-LS,0,314.0,True,3.935462
primary,setting1_atacseq1000_72_143_15_1_1,atacseq,atacseq1000,small,1,1.0,with_ls,slackR-LS,0,350.0,True,3.935462
primary,setting1_atacseq1000_72_143_15_1_1,atacseq,atacseq1000,small,1,1.0,with_ls,slackW-LS,0,303.0,True,3.935462
primary,setting1_atacseq1000_72_143_15_1_1,atacseq,atacseq1000,small,1,1.0,with_ls,slackWR-LS,0,336.0,True,3.935462
primary,setting1_atacseq1000_72_143_15_1_1,atacseq,atacseq1000,small,1,1.0,without_ls,press,0,302.0,True,3.823128
primary,setting1_atacseq1000_72_143_15_1_1,atacseq,atacseq1000,small,1,1.0,without_ls,pressR,0,335.0,True,3.823128
primary,setting1_atacseq1000_72_143_15_1_1,atacseq,atacseq1000,small,1,1.0,without_ls,pressW,0,291.0,True,3.823128
primary,setting1_atacseq1000_72_143_15_1_1,atacseq,atacseq1000,small,1,1.0,without_ls,pressWR,0,326.0,True,3.823128
primary,setting1_atacseq1000_72_143_15_1_1,atacseq,atacseq1000,small,1,1.0,without_ls,slack,0,297.0,True,3.823128
primary,setting1_atacseq1000_72_143_15_1_1,atacseq,atacseq1000,small,1,1.0,without_ls,slackR,0,339.0,True,3.823128
primary,setting1_atacseq1000_72_143_15_1_1,atacseq,atacseq1000,small,1,1.0,without_ls,slackW,0,289.0,True,3.823128
primary,setting1_atacseq1000_72_143_15_1_1,atacseq,atacseq1000,small,1,1.0,without_ls,slackWR,0,323.0,True,3.823128
primary,setting1_atacseq1000_72_215_22_1_1,atacseq,atacseq1000,small,1,1.5,baseline,baseline,1511,5.0,True,0.174477
primary,setting1_atacseq1000_72_215_22_1_1,atacseq,atacseq1000,small,1,1.5,with_ls,press-LS,0,318.0,True,4.004068
primary,setting1_atacseq1000_72_215_22_1_1,atacseq,atacseq1000,small,1,1.5,with_ls,pressR-LS,0,369.0,True,4.004068
primary,setting1_atacseq1000_72_215_22_1_1,atacseq,atacseq1000,small,1,1.5,with_ls,pressW-LS,0,309.0,True,4.004068
